ct5_spec,prior_testing,,notes,Specify 5th CT result,,,,,,,(([ct5]='2' or  [ct5]='3') and ([ct5_body_part(1)]='1' or [ct5_body_part(2)]='1' or [ct5_body_part(3)]='1' or [ct5_body_part(4)]='1' or [ct5_body_part(5)]='1' or [ct5_body_part(6)]='1' or [ct5_body_part(7)]='1')) and [ct_group_no]>=5
ct5_location,prior_testing,,text,Where was 5th CT performed?,,,,,,,([image_studies_performed(3)] = '1') and [ct_group_no]>=5
ultrasound_group_no,prior_testing,Imaging Studies  - Ultrasound,text,How many ultrasounds would you like to enter (up to 5)?,,,,,,,[image_studies_performed(4)] = '1'
us1_date,prior_testing,,text,Year of 1st US,,Please specify four digit year,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=1
us1_body_part,prior_testing,,checkbox,Part of body screened on 1st US,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=1
us1_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([us1_body_part(7)]='1') and [ultrasound_group_no]>=1
us1,prior_testing,,radio,1st US result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=1
us1_renal_laterality,prior_testing,,radio,Laterality of abnormal renal Ultrasound 1 findings,"1, Unilateral | 2, Bilateral",,,,,,([us1_body_part(2)]='1' and [us1]='2') and [ultrasound_group_no]>=1
us1_renal_finding,prior_testing,,checkbox,Renal Ultrasound 1 finding details,"1, Cysts | 2, Hypoplasia | 3, Aplasia | 4, Duplicated Ureters | 5, Horseshoe | 6, Other",,,,,,([us1_body_part(2)]='1' and [us1]='2') and [ultrasound_group_no]>=1
us1_renal_finding_other_dtls,prior_testing,,text,Please specify other Renal Ultrasound 1 finding details,,,,,,,([us1_renal_finding(6)]='1') and [ultrasound_group_no]>=1
us1_spec,prior_testing,,notes,Specify 1st US result,,,,,,,(([us1]='2' or  [us1]='3') and ([us1_body_part(1)]='1' or [us1_body_part(3)]='1' or [us1_body_part(4)]='1' or [us1_body_part(5)]='1' or [us1_body_part(6)]='1' or [us1_body_part(7)] = '1')) and [ultrasound_group_no]>=1
us1_location,prior_testing,,text,Where was 1st US performed?,,,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=1
us2_date,prior_testing,,text,Year of 2nd US,,Please specify four digit year,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=2
us2_body_part,prior_testing,,checkbox,Part of body screened on 2nd US,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=2
us2_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([us2_body_part(7)]='1') and [ultrasound_group_no]>=2
us2,prior_testing,,radio,2nd US result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=2
us2_renal_laterality,prior_testing,,radio,Laterality of abnormal renal Ultrasound 2 findings,"1, Unilateral | 2, Bilateral",,,,,,([us2_body_part(2)]='1' and [us2]='2') and [ultrasound_group_no]>=2
us2_renal_finding,prior_testing,,checkbox,Renal Ultrasound 2 finding details,"1, Cysts | 2, Hypoplasia | 3, Aplasia | 4, Duplicated Ureters | 5, Horseshoe | 6, Other",,,,,,([us2_body_part(2)]='1' and [us2]='2') and [ultrasound_group_no]>=2
us2_renal_finding_other_dtls,prior_testing,,text,Please specify other Renal Ultrasound 2 finding details,,,,,,,([us2_renal_finding(6)]='1') and [ultrasound_group_no]>=2
us2_spec,prior_testing,,notes,Specify 2nd US result,,,,,,,(([us2]='2' or  [us2]='3') and ([us2_body_part(1)]='1' or [us2_body_part(3)]='1' or [us2_body_part(4)]='1' or [us2_body_part(5)]='1' or [us2_body_part(6)]='1' or [us2_body_part(7)] = '1')) and [ultrasound_group_no]>=2
us2_location,prior_testing,,text,Where was 2nd US performed?,,,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=2
us3_date,prior_testing,,text,Year of 3rd US,,Please specify four digit year,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=3
us3_body_part,prior_testing,,checkbox,Part of body screened on 3rd US,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=3
us3_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([us3_body_part(7)]='1') and [ultrasound_group_no]>=3
us3,prior_testing,,radio,3rd US result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=3
us3_renal_laterality,prior_testing,,radio,Laterality of abnormal renal Ultrasound 3 findings,"1, Unilateral | 2, Bilateral",,,,,,([us3_body_part(2)]='1' and [us3]='2') and [ultrasound_group_no]>=3
us3_renal_finding,prior_testing,,checkbox,Renal Ultrasound 3 finding details,"1, Cysts | 2, Hypoplasia | 3, Aplasia | 4, Duplicated Ureters | 5, Horseshoe | 6, Other",,,,,,([us3_body_part(2)]='1' and [us3]='2') and [ultrasound_group_no]>=3
us3_renal_finding_other_dtls,prior_testing,,text,Please specify other Renal Ultrasound 3 finding details,,,,,,,([us3_renal_finding(6)]='1') and [ultrasound_group_no]>=3
us3_spec,prior_testing,,notes,Specify 3rd US result,,,,,,,(([us3]='2' or  [us3]='3') and ([us3_body_part(1)]='1' or [us3_body_part(3)]='1' or [us3_body_part(4)]='1' or [us3_body_part(5)]='1' or [us3_body_part(6)]='1' or [us3_body_part(7)] = '1')) and [ultrasound_group_no]>=3
us3_location,prior_testing,,text,Where was 3rd US performed?,,,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=3
us4_date,prior_testing,,text,Year of 4th US,,Please specify four digit year,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=4
us4_body_part,prior_testing,,checkbox,Part of body screened on 4th US,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=4
us4_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([us4_body_part(7)]='1') and [ultrasound_group_no]>=4
us4,prior_testing,,radio,4th US result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=4
us4_renal_laterality,prior_testing,,radio,Laterality of abnormal renal Ultrasound 4 findings,"1, Unilateral | 2, Bilateral",,,,,,([us4_body_part(2)]='1' and [us4]='2') and [ultrasound_group_no]>=4
us4_renal_finding,prior_testing,,checkbox,Renal Ultrasound 4 finding details,"1, Cysts | 2, Hypoplasia | 3, Aplasia | 4, Duplicated Ureters | 5, Horseshoe | 6, Other",,,,,,([us4_body_part(2)]='1' and [us4]='2') and [ultrasound_group_no]>=4
us4_renal_finding_other_dtls,prior_testing,,text,Please specify other Renal Ultrasound 4 finding details,,,,,,,([us4_renal_finding(6)]='1') and [ultrasound_group_no]>=4
us4_spec,prior_testing,,notes,Specify 4th US result,,,,,,,(([us4]='2' or  [us4]='3') and ([us4_body_part(1)]='1' or [us4_body_part(3)]='1' or [us4_body_part(4)]='1' or [us4_body_part(5)]='1' or [us4_body_part(6)]='1' or [us4_body_part(7)] = '1')) and [ultrasound_group_no]>=4
us4_location,prior_testing,,text,Where was 4th US performed?,,,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=4
us5_date,prior_testing,,text,Year of 5th US,,Please specify four digit year,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=5
us5_body_part,prior_testing,,checkbox,Part of body screened on 5th US,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=5
us5_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([us5_body_part(7)]='1') and [ultrasound_group_no]>=5
us5,prior_testing,,radio,5th US result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=5
us5_renal_laterality,prior_testing,,radio,Laterality of abnormal renal Ultrasound 5 findings,"1, Unilateral | 2, Bilateral",,,,,,([us5_body_part(2)]='1' and [us5]='2') and [ultrasound_group_no]>=5
us5_renal_finding,prior_testing,,checkbox,Renal Ultrasound 5 finding details,"1, Cysts | 2, Hypoplasia | 3, Aplasia | 4, Duplicated Ureters | 5, Horseshoe | 6, Other",,,,,,([us5_body_part(2)]='1' and [us5]='2') and [ultrasound_group_no]>=5
us5_renal_finding_other_dtls,prior_testing,,text,Please specify other Renal Ultrasound 5 finding details,,,,,,,([us5_renal_finding(6)]='1') and [ultrasound_group_no]>=5
us5_spec,prior_testing,,notes,Specify 5th US result,,,,,,,(([us5]='2' or  [us5]='3') and ([us5_body_part(1)]='1' or [us5_body_part(3)]='1' or [us5_body_part(4)]='1' or [us5_body_part(5)]='1' or [us5_body_part(6)]='1' or [us5_body_part(7)] = '1')) and [ultrasound_group_no]>=5
us5_location,prior_testing,,text,Where was 5th US performed?,,,,,,,([image_studies_performed(4)] = '1') and [ultrasound_group_no]>=5
xray_group_no,prior_testing,Imaging Studies  - Xray,text,How many xrays would you like to enter (up to 5)?,,,,,,,[image_studies_performed(5)] = '1'
xray1_date,prior_testing,,text,Year of 1st Xray,,Please specify four digit year,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=1
xray1_body_part,prior_testing,,checkbox,Part of body screened on 1st Xray,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=1
xray1_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([xray1_body_part(7)]='1') and [xray_group_no]>=1
xray1,prior_testing,,radio,1st Xray result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=1
xray1_spec,prior_testing,,notes,Specify 1st Xray result,,,,,,,([xray1]='2' or  [xray1]='3') and [xray_group_no]>=1
xray1_location,prior_testing,,text,Where was 1st Xray performed?,,,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=1
xray2_date,prior_testing,,text,Year of 2nd Xray,,Please specify four digit year,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=2
xray2_body_part,prior_testing,,checkbox,Part of body screened on 2nd Xray,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=2
xray2_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([xray2_body_part(7)]='1') and [xray_group_no]>=2
xray2,prior_testing,,radio,2nd Xray result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=2
xray2_spec,prior_testing,,notes,Specify 2nd Xray result,,,,,,,([xray2]='2' or  [xray2]='3') and [xray_group_no]>=2
xray2_location,prior_testing,,text,Where was 2nd Xray performed?,,,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=2
xray3_date,prior_testing,,text,Year of 3rd Xray,,Please specify four digit year,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=3
xray3_body_part,prior_testing,,checkbox,Part of body screened on 3rd Xray,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=3
xray3_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([xray3_body_part(7)]='1') and [xray_group_no]>=3
xray3,prior_testing,,radio,3rd Xray result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=3
xray3_spec,prior_testing,,notes,Specify 3rd Xray result,,,,,,,([xray3]='2' or  [xray3]='3') and [xray_group_no]>=3
xray3_location,prior_testing,,text,Where was 3rd Xray performed?,,,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=3
xray4_date,prior_testing,,text,Year of 4th Xray,,Please specify four digit year,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=4
xray4_body_part,prior_testing,,checkbox,Part of body screened on 4th Xray,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=4
xray4_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([xray4_body_part(7)]='1') and [xray_group_no]>=4
xray4,prior_testing,,radio,4th Xray result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=4
xray4_spec,prior_testing,,notes,Specify 4th Xray result,,,,,,,([xray4]='2' or  [xray4]='3') and [xray_group_no]>=4
xray4_location,prior_testing,,text,Where was 4th Xray performed?,,,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=4
xray5_date,prior_testing,,text,Year of 5th Xray,,Please specify four digit year,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=5
xray5_body_part,prior_testing,,checkbox,Part of body screened on 5th Xray,"1, Brain | 2, Kidney | 3, Abdomen | 4, Chest | 5, Muscle | 6, Head | 7, Other",,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=5
xray5_body_part_other_dtls,prior_testing,,text,Specify Other part of body screened,,,,,,,([xray5_body_part(7)]='1') and [xray_group_no]>=5
xray5,prior_testing,,radio,5th Xray result,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=5
xray5_spec,prior_testing,,notes,Specify 5th Xray result,,,,,,,([xray5]='2' or  [xray5]='3') and [xray_group_no]>=5
xray5_location,prior_testing,,text,Where was 5th Xray performed?,,,,,,,([image_studies_performed(5)] = '1') and [xray_group_no]>=5
endoscopy_group_no,prior_testing,Imaging Studies  - Endoscopy,text,How many endoscopies would you like to enter (up to 5)?,,,,,,,[image_studies_performed(7)] = '1'
endo1_date,prior_testing,,text,Year of 1st Endoscopy,,Please specify four digit year,,,,,([image_studies_performed(7)] = '1') and [endoscopy_group_no]>=1
endo1_body_part,prior_testing,,checkbox,Type of 1st Endoscopy ,"1, Gastroscopy or Upper endoscopy (mouth, oesophagus, stomach and duodenum) | 2, Colonoscopy | 3, Flexible sigmoidoscopy | 4, Proctoscopy (anal canal) | 5, Cytoscopy (bladder) | 6, Ureteroscopy | 8, Endoscopic ultrasound | 7, Other",,,,,,([image_studies_performed(7)] = '1') and [endoscopy_group_no]>=1
endo1_body_part_other_dtls,prior_testing,,text,Please specify other Type of 1st Endoscopy ,,,,,,,([endo1_body_part(7)]='1') and [endoscopy_group_no]>=1
endo1,prior_testing,,radio,1st Endoscopy result | Specify $placeholder Type of Endoscopy ,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(7)] = '1') and [endoscopy_group_no]>=1
endo1_spec,prior_testing,,notes,Specify 1st Endoscopy Result,,,,,,,(([endo1]='2' or  [endo1]='3') and ([endo1_body_part(1)]='1' or [endo1_body_part(2)]='1' or [endo1_body_part(3)]='1' or [endo1_body_part(4)]='1' or [endo1_body_part(5)]='1' or [endo1_body_part(6)]='1' or [endo1_body_part(7)]='1')) and [endoscopy_group_no]>=1
endo1_location,prior_testing,,text,Where was 1st Endoscopy performed?,,,,,,,([image_studies_performed(7)] = '1') and [endoscopy_group_no]>=1
endo2_date,prior_testing,,text,Year of 2nd Endoscopy,,Please specify four digit year,,,,,([image_studies_performed(7)] = '1') and [endoscopy_group_no]>=2
endo2_body_part,prior_testing,,checkbox,Type of 2nd Endoscopy ,"1, Gastroscopy or Upper endoscopy (mouth, oesophagus, stomach and duodenum) | 2, Colonoscopy | 3, Flexible sigmoidoscopy | 4, Proctoscopy (anal canal) | 5, Cytoscopy (bladder) | 6, Ureteroscopy | 8, Endoscopic ultrasound | 7, Other",,,,,,([image_studies_performed(7)] = '1') and [endoscopy_group_no]>=2
endo2_body_part_other_dtls,prior_testing,,text,Please specify other Type of 2nd Endoscopy ,,,,,,,([endo2_body_part(7)]='1') and [endoscopy_group_no]>=2
endo2,prior_testing,,radio,2nd Endoscopy result | Specify $placeholder Type of Endoscopy ,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(7)] = '1') and [endoscopy_group_no]>=2
endo2_spec,prior_testing,,notes,Specify 2nd Endoscopy Result,,,,,,,(([endo2]='2' or  [endo2]='3') and ([endo2_body_part(1)]='1' or [endo2_body_part(2)]='1' or [endo2_body_part(3)]='1' or [endo2_body_part(4)]='1' or [endo2_body_part(5)]='1' or [endo2_body_part(6)]='1' or [endo2_body_part(7)]='1')) and [endoscopy_group_no]>=2
endo2_location,prior_testing,,text,Where was 2nd Endoscopy performed?,,,,,,,([image_studies_performed(7)] = '1') and [endoscopy_group_no]>=2
endo3_date,prior_testing,,text,Year of 3rd Endoscopy,,Please specify four digit year,,,,,([image_studies_performed(7)] = '1') and [endoscopy_group_no]>=3
endo3_body_part,prior_testing,,checkbox,Type of 3rd Endoscopy ,"1, Gastroscopy or Upper endoscopy (mouth, oesophagus, stomach and duodenum) | 2, Colonoscopy | 3, Flexible sigmoidoscopy | 4, Proctoscopy (anal canal) | 5, Cytoscopy (bladder) | 6, Ureteroscopy | 8, Endoscopic ultrasound | 7, Other",,,,,,([image_studies_performed(7)] = '1') and [endoscopy_group_no]>=3
endo3_body_part_other_dtls,prior_testing,,text,Please specify other Type of 3rd Endoscopy ,,,,,,,([endo3_body_part(7)]='1') and [endoscopy_group_no]>=3
endo3,prior_testing,,radio,3rd Endoscopy result | Specify $placeholder Type of Endoscopy ,"1, Normal | 2, Abnormal | 3, Not determined | 4, Unknown/Not documented",,,,,,([image_studies_performed(7)] = '1') and [endoscopy_group_no]>=3
endo3_spec,prior_testing,,notes,Specify 3rd Endoscopy Result,,,,,,,(([endo3]='2' or  [endo3]='3') and ([endo3_body_part(1)]='1' or [endo3_body_part(2)]='1' or [endo3_body_part(3)]='1' or [endo3_body_part(4)]='1' or [endo3_body_part(5)]='1' or [endo3_body_part(6)]='1' or [endo3_body_part(7)]='1')) and [endoscopy_group_no]>=3
endo3_location,prior_testing,,text,Where was 3rd Endoscopy performed?,,,,,,,([image_studies_performed(7)] = '1') and [endoscopy_group_no]>=3
